,City,Population,Murder,Robbery,Population_sq
153,Irvington Village,6530,0,0,42640900
154,Jamestown,30658,0,1,939912964
155,Johnson City Village,14866,1,1,220997956
156,Johnstown,8531,0,1,72777961
157,Jordan Village,1350,0,0,1822500
158,Kenmore Village,15256,1,1,232745536
159,Kent Town,13381,0,0,179051161
160,Kings Point Village,5042,0,0,25421764
161,Kingston,23665,1,1,560032225
162,Kirkland Town,8296,0,0,68823616
163,Lackawanna,17965,1,1,322741225
164,Lake Placid Village,2491,0,0,6205081
165,Lake Success Village,3009,0,0,9054081
166,Lakewood-Busti,7280,0,1,52998400
167,Lancaster Town,36369,0,1,1322704161
168,Larchmont Village,5930,0,0,35164900
169,Le Roy Village,4354,0,1,18957316
170,Lewiston Town and Village,16175,0,1,261630625
171,Liberty Village,4285,0,1,18361225
172,Little Falls,4912,0,1,24127744
173,Liverpool Village,2311,0,1,5340721
174,Lloyd Harbor Village,3683,0,0,13564489
175,Lloyd Town,10751,0,0,115584001
176,Lockport,20904,0,1,436977216
177,Long Beach,33534,0,1,1124529156
178,Lowville Village,3457,0,0,11950849
179,Lynbrook Village,19528,0,1,381342784
180,Lyons Village,3543,0,1,12552849
181,Macedon Town and Village,9132,0,1,83393424
182,Malone Village,5881,0,1,34586161
183,Malverne Village,8542,0,1,72965764
184,Mamaroneck Town,12146,0,1,147525316
185,Mamaroneck Village,19164,0,1,367258896
186,Manchester Village,1688,0,0,2849344
187,Manlius Town,24461,0,1,598340521
188,Marcellus Village,1792,0,0,3211264
189,Marlborough Town,8769,0,1,76895361
190,Massena Village,10808,0,1,116812864
191,Mechanicville,5213,0,1,27175369
192,Medina Village,5953,0,1,35438209
193,Menands Village,3991,0,1,15928081
194,Middleport Village,1813,0,0,3286969
195,Middletown,27809,1,1,773340481
196,Monroe Village,8544,0,1,72999936
197,Montgomery Town,8961,0,1,80299521
198,Montgomery Village,4188,0,0,17539344
199,Monticello Village,6582,0,1,43322724
200,Moravia Village,1263,0,0,1595169
201,Moriah Town,3628,0,0,13162384
202,Mount Hope Town,7112,0,0,50580544
203,Mount Kisco Village,11028,0,1,121616784
204,Mount Morris Village,2912,0,1,8479744
205,Mount Pleasant Town,26564,0,1,705646096
206,Mount Vernon,68071,1,1,4633661041
207,Newark Village,8978,0,1,80604484
208,New Berlin Town,1622,0,0,2630884
209,Newburgh,28571,1,1,816302041
210,Newburgh Town,30984,0,1,960008256
211,New Castle Town,17864,0,0,319122496
212,New Hartford Town and Village,20355,0,1,414326025
213,New Paltz Town and Village,14248,0,1,203005504
214,New Rochelle,78800,0,1,6209440000
215,New Windsor Town,25767,0,1,663938289
216,New York,8396126,1,1,70494931807876
217,New York Mills Village,3324,0,0,11048976
218,Niagara Falls,49574,1,1,2457581476
219,Niagara Town,8241,0,1,67914081
220,Niskayuna Town,22097,0,1,488277409
221,Nissequogue Village,1754,0,0,3076516
222,North Castle Town,12077,0,0,145853929
223,North Greenbush Town,12137,0,1,147306769
224,Northport Village,7411,0,1,54922921
225,North Syracuse Village,6964,0,0,48497296
226,North Tonawanda,31176,1,1,971942976
227,Northville Village,1097,0,0,1203409
228,Norwich,7049,0,0,49688401
229,Ogdensburg,11072,0,1,122589184
230,Ogden Town,20026,0,1,401040676
231,Old Brookville Village,2171,0,1,4713241
232,Old Westbury Village,4625,0,0,21390625
233,Olean,14150,0,1,200222500
234,Oneida,11220,0,1,125888400
235,Oneonta City,13825,0,1,191130625
236,Orangetown Town,37438,0,1,1401603844
237,Orchard Park Town,29386,0,1,863536996
238,Oriskany Village,1385,0,0,1918225
239,Ossining Village,25314,0,1,640798596
240,Oswego City,18139,1,1,329023321
241,Owego Village,3818,0,1,14577124
242,Oxford Village,1433,0,1,2053489
243,Oyster Bay Cove Village,4233,0,0,17918289
244,Painted Post Village,2116,0,0,4477456
245,Palmyra Village,3475,0,0,12075625
246,Peekskill,23908,0,1,571592464
247,Pelham Manor Village,5558,0,1,30891364
248,Pelham Village,6982,0,1,48748324
249,Penn Yan Village,5123,0,1,26245129
250,Perry Village,3633,0,0,13198689
251,Piermont Village,2550,0,0,6502500
252,Pine Plains Town,2460,0,0,6051600
253,Plattekill Town,10374,0,1,107619876
254,Plattsburgh City,19672,0,1,386987584
255,Pleasantville Village,7100,0,0,50410000
256,Port Byron Village,1274,0,0,1623076
257,Port Chester Village,29328,0,1,860131584
258,Port Dickinson Village,1602,0,0,2566404
259,Port Jervis,8689,1,1,75498721
260,Portville Village,997,0,0,994009
261,Potsdam Village,9613,0,0,92409769
262,Poughkeepsie,30778,1,1,947285284
263,Poughkeepsie Town,43866,1,1,1924225956
264,Pound Ridge Town,5200,0,0,27040000
265,Pulaski Village,2354,0,0,5541316
266,Quogue Village,977,0,0,954529
267,Ramapo Town,87204,1,1,7604537616
268,Red Hook Village,1947,0,0,3790809
269,Rensselaer City,9517,0,1,90573289
270,Rhinebeck Village,2635,0,0,6943225
271,Riverhead Town,33789,0,1,1141696521
272,Rochester,210562,1,1,44336355844
273,Rockville Centre Village,24129,1,1,582208641
274,Rome,32557,1,1,1059958249
275,Rosendale Town,6026,0,0,36312676
276,Rotterdam Town,29146,1,1,849489316
277,Rye Brook Village,9480,0,1,89870400
278,Sag Harbor Village,2279,0,1,5193841
279,Salamanca,5691,0,1,32387481
280,Sands Point Village,2715,0,0,7371225
281,Saranac Lake Village,5369,1,1,28826161
282,Saratoga Springs,27081,1,1,733380561
283,Saugerties Town,19318,0,1,373185124
284,Scarsdale Village,17564,0,0,308494096
285,Schenectady,66041,1,1,4361413681
286,Schodack Town,11573,0,1,133934329
287,Schoharie Village,872,0,0,760384
288,Scotia Village,7700,1,1,59290000
289,Seneca Falls Town,2362,0,1,5579044
290,Shandaken Town,3043,0,0,9259849
291,Shawangunk Town,14205,0,0,201782025
292,Shelter Island Town,2412,0,0,5817744
293,Sherburne Village,1351,0,0,1825201
294,Sherrill,3064,0,0,9388096
295,Shortsville Village,1437,0,0,2064969
296,Sidney Village,3805,0,1,14478025
297,Skaneateles Village,2450,0,0,6002500
298,Sleepy Hollow Village,9996,1,1,99920016
299,Sodus Village,1805,0,0,3258025
300,Solvay Village,6487,0,1,42081169
301,Southampton Town,50603,0,1,2560663609
302,Southampton Village,3161,0,1,9991921
303,South Glens Falls Village,3640,0,1,13249600
304,Southold Town,19963,0,1,398521369
305,Spring Valley Village,32288,1,1,1042514944
306,Stillwater Town,6587,0,0,43388569
307,St. Johnsville Village,1691,0,0,2859481
308,Stony Point Town,15307,0,1,234304249
309,Suffern Village,10886,0,1,118504996
310,Syracuse,143834,1,1,20688219556
311,Tarrytown Village,11449,0,1,131079601
312,Ticonderoga Town,4982,0,0,24820324
313,Tonawanda,14987,0,1,224610169
314,Tonawanda Town,58082,1,1,3373518724
315,Troy,49898,1,1,2489810404
316,Trumansburg Village,1820,0,1,3312400
317,Tuckahoe Village,6578,0,0,43270084
318,Tupper Lake Village,3642,0,0,13264164
319,Tuxedo Park Village,615,0,0,378225
320,Ulster Town,12195,0,1,148718025
321,Utica,61686,1,1,3805162596
322,Vestal Town,27980,0,1,782880400
323,Walden Village,6887,1,1,47430769
324,Wallkill Town,27940,0,1,780643600
325,Walton Village,3012,0,0,9072144
326,Warsaw Village,3453,0,0,11923209
327,Washingtonville Village,5828,0,1,33965584
328,Waterford Town and Village,8392,0,0,70425664
329,Waterloo Village,5175,0,1,26780625
330,Watertown,28179,0,1,794056041
331,Watervliet,10245,1,1,104960025
332,Watkins Glen Village,1862,0,0,3467044
333,Waverly Village,4337,0,1,18809569
334,Webster Town and Village,43777,0,1,1916425729
335,Weedsport Village,1797,0,0,3229209
336,Wellsville Village,4574,0,0,20921476
337,Westhampton Beach Village,1732,0,0,2999824
338,West Seneca Town,44821,1,1,2008922041
339,Whitehall Village,2604,0,0,6780816
340,White Plains,57559,1,1,3313038481
341,Whitesboro Village,3733,0,0,13935289
342,Whitestown Town,9141,0,0,83557881
343,Woodbury Town,10685,0,1,114169225
344,Woodridge Village,829,0,0,687241
345,Woodstock Town,5931,0,0,35176761
346,Yonkers,199134,1,1,39654349956
347,Yorktown Town,36643,0,1,1342709449
